Accession;T1-02B001;T2-02B001;T3-02B001;T4-02B001;T5-02B001;T6-02B001;T7-02B001;T8-02B001;T1-02B002;T2-02B002;T3-02B002;T4-02B002;T1-02B004;T2-02B004;T3-02B004;T4-02B004;T5-02B004;T6-02B004;T7-02B004;T8-02B004;T1-02B006;T2-02B006;T3-02B006;T4-02B006;T5-02B006;T6-02B006;T7-02B006;T1-02B007;T2-02B007;T3-02B007;T4-02B007;T5-02B007;T6-02B007;T1-02B008;T2-02B008;T4-02B008;T6-02B008;T7-02B008;T1-02B009;T2-02B009;T3-02B009;T4-02B009;T5-02B009;T6-02B009;T7-02B009;T8-02B009;T1-02B010;T2-02B010;T3-02B010;T4-02B010;T5-02B010;T6-02B010;T7-02B010;T8-02B010;T1-02A001;T2-02A001;T3-02A001;T4-02A001;T5-02A001;T6-02A001;T7-02A001;T1-02A015;T2-02A015;T3-02A015;T4-02A015;T5-02A015;T6-02A015;T7-02A015;T1-02A020;T2-02A020;T3-02A020;T4-02A020;T5-02A020;T6-02A020;T7-02A020;T1-02A021;T2-02A021;T3-02A021;T4-02A021;T5-02A021;T6-02A021;T7-02A021;T2-02A022;T3-02A022;T4-02A022;T5-02A022;T6-02A022;T7-02A022;T1-02A023;T2-02A023;T3-02A023;T4-02A023;T5-02A023;T6-02A023;T1-02A025;T2-02A025;T3-02A025;T4-02A025;T5-02A025;T6-02A025;T7-02A025;T1-02A029;T2-02A029;T3-02A029;T4-02A029;T5-02A029;T6-02A029;T7-02A029
E9PQ73;25,7;29,79060792;31,18683397;80,03333333;13,49398736;27,43846154;279,8414706;35,7;2,9;31,9;68,1;7,1;2,4;19,23452381;106,3244048;35,7;56,36666667;136,7157866;51,1;35,7;6,52955939;14,4959707;78,86666667;60,32440476;26,63333333;59,1577381;324,4333333;1,8;2,5;10,6;93,9;5,7;814,8;2,9;9,6;64,6;1,7;5,8;6,488095238;41,1;8,033333333;59,87480394;11,41746032;24,61941392;9,381486569;9,154427492;5,9;13,3;7;78,1;7,8;6,9;7,6;6,4;35,7;53,66666667;55,13333333;35,5;59,63333333;55,13333333;35,5;35,66666667;36,73333333;36,73333333;36,73333333;36,73333333;36,73333333;36,73333333;40,4534436;5,988877798;15,17182376;182,2187366;13,78867817;17,62441181;7,685726508;35,66666667;36,73333333;26,96666667;26,96666667;54,73333333;37,79622606;36,73333333;34,63333333;305,2;5,705128205;35,5962926;55,13333333;55,13333333;293,1696429;1,979166667;18,97321429;9,806547619;6,830357143;4,583333333;76,15384615;4,587912088;6,936813187;4,67032967;7,115384615;8,502747253;5,412087912;387,8827977;3,856332703;23,08128544;7,788279773;13,76181474;9,224952741;7,069943289
F2Z2K0;0,565452269;0,597290965;0,565452269;1,338135549;0,68434642;4,011777696;0,4968024;7,255523908;4,93514539;4,180547023;1,587009482;1,667149648;4,080130396;1,239988082;4,080130396;2,205443915;5,698055878;5,698055878;4,856076299;2,365741279;3,929580311;4,642266317;2,43779306;1,587009482;1,587009482;1,288235722;2,983252771;1,187585464;1,507105908;1,330485291;4,180547023;1,97146258;1,319561888;1,089437997;1,232337825;2,983252771;1,587009482;3,755016913;2,391295931;3,929580311;6,569292266;2,43779306;4,128550225;3,662833469;5,00793743;0,37790825;1,507105908;1,089437997;1,507105908;1,507105908;1,507105908;1,507105908;1,507105908;1,089437997;4,090646196;10,26604974;0,02366055;2,040065198;0,999000999;0,975340449;1,745622798;5,203555737;2,983252771;2,983252771;2,983252771;2,983252771;2,983252771;2,983252771;0,269181701;0,172997669;0,735629727;0,914193602;0,787061466;1,143743919;0,173665614;6,217958108;2,702504761;2,658561594;1,215760949;5,07543577;3,713197598;4,841072213;4,70856339;0,964653639;4,68192202;0,964653639;5,059934227;5,189452788;4,280345719;1,587009482;1,239988082;1,594896332;2,154731463;1,906069875;0,829364618;8,755953072;1,884074805;0,348472529;1,665698687;4,383784412;3,624114299;5,382573796;2,006732263;1,857845676;6,382703263;7,327809425;9,056188503;2,265665458
F2Z2T0;10,83333333;13,05259042;191,1666667;217,7666667;33,83333333;40,23333333;60,51003584;13,7;99,1316932;74,60135554;221,1666667;86,53333333;10,86666667;13,7;13,7;147,1;147,1;122,5446213;169,2;140,7;16,1;11,1;331,7;477,4;5,4;85;24,6;8,842978169;99,61795606;99,61795606;80,19898122;87,0423432;36,57717287;1,7;6,7;24,1;6,1;4,3;116,3531114;65,86666667;79,26849976;298,0333333;67,3;72,9633864;77,21664255;51,01687846;97,4;95,6;140,3;90,9;88,5;95,2;41;62,3;84,35281739;75,00263818;70,06666667;70,06666667;70,06666667;70,06666667;85,73601361;192,5501433;61,03151862;79,08309456;125,5969436;98,75835721;74,49856734;56,25596944;52,15053763;23,80254154;8,357771261;127,4682307;16,47116325;126,9794721;43,45063539;75,91671442;65,45686087;71,53772684;65,45686087;65,45686087;44,5862171;44,5862171;78,56734202;70,06666667;100,4823927;69,96751385;43,46666667;43,46666667;43,46666667;40,23333333;67,21480945;43,46666667;43,46666667;40,53217559;200,2894356;138,2054993;185,8176556;56,58465991;76,84515195;82,34442836;86,39652677;42,03333333;78,56734202;11,9763115;77,21664255;68,63005306;40,23333333;13,96666667
F5GWI4;166,1737523;269,9515925;174,8945148;138,4454798;116,6315049;174,2161974;36,88466948;120,8237986;209,5261938;196,2944336;90,19900582;200,3707419;171,4721587;114,7215866;157,6659039;36,78373383;36,78373383;80,39569391;229,904047;59,75262401;189,8336414;150,1563443;138,7564573;128,8932604;171,5319417;108,4503976;183,0343797;174,8945148;192,9221036;192,9221036;192,9221036;209,3944327;157,334915;240,442628;254,5781221;183,0343797;183,0343797;120,8237986;189,8336414;176,0488177;198,4563998;115,2858724;133,1045004;109,0595601;118,0873379;95,14767932;197,5547964;212,8514967;174,8945148;234,1719597;174,8945148;142,0451181;179,9226442;174,8945148;162,4909323;229,2630842;127,2357286;202,5651019;191,4745233;191,4745233;122,8182665;163,5824437;196,3226572;131,0794781;205,9311981;166,3107948;206,5243179;144,6026097;82,70042194;43,77637131;283,0168776;102,1097046;212,9746835;38,18565401;28,69198312;159,7533632;75,44843049;255,3811659;225,3363229;68,38565022;214,6860987;370,6278027;384,8428835;11,2754159;313,8632163;2,402957486;87,98521257;96,6728281;241,1899314;144,3935927;142,5629291;130,6636156;89,24485126;112,3569794;103,1798246;99,34210526;142,1052632;83,44298246;120,3947368;64,80263158;111,1842105;165,1090343;449,6884735;435,3582555;215,7320872;198,5981308;172,741433;316,3551402
F5GYF7;24,88834754;24,88834754;24,16768169;4,176424668;12,13535433;4,611352738;4,611352738;15,62566617;21,49573872;12,21914565;12,21914565;7,940151322;22,61067292;14,7516521;23,32835927;13,90580593;13,90580593;10,75159428;15,62566617;13,90580593;23,19326025;3,958960633;14,79656797;19,93299076;19,42777333;9,047791876;7,940151322;23,19326025;5,241440839;5,241440839;5,241440839;5,60647336;3,535184566;6,873084503;7,940151322;7,940151322;7,940151322;15,62566617;23,19326025;24,78504939;11,89261974;22,61067292;16,20834222;16,20834222;16,20834222;15,62566617;23,19326025;10,11280805;8,894535325;10,11280805;22,90553139;8,46529532;22,90553139;22,90553139;23,65882676;17,81876045;12,44202517;7,119620251;10,11280805;10,11280805;4,987537261;11,34158581;4,131816661;4,198728672;5,503512881;4,75075276;5,470056875;2,275008364;8,494300007;7,940151322;6,873084503;9,047791876;6,873084503;11,87256321;6,05460408;22,44325427;11,32364193;7,931650089;7,217546544;8,671257332;12,49681204;5,483295078;22,99025579;13,00243605;28,07551766;3,56272838;21,43727162;25,15225335;36,64463867;20,05968877;17,65082072;13,53655937;15,68961842;10,91451716;17,81876045;7,940151322;14,71944172;7,940151322;19,66580785;9,532362139;19,42777333;23,19326025;23,7084874;24,16768169;21,49573872;23,19082602;23,19326025;19,14814646
F5GYQ1;44,2;97,2;90;84,1;139,9;110;96,8;117,4;2,7;2,7;98,9;13,6;165,7333333;120,8;110,4333333;109,8666667;107,3;91,87431532;88,9;122,6333333;61,8;67,5;125,5;69,3;166,6;75,8;128,3;1,1;2,5;5,5;52,7;4;58,3;77,4;71,3;101,6;166,8;119,9;45,9;113;106,6;62;232,3;67,6;151,5;120,6;61,9;101,3;88,1;148,5;132,5;106,4;114,6;105,8;131,6;163,8666667;116,8;170,4;170,2666667;163,0666667;88,8;26,24401032;16,21820863;15,77589384;55,84224106;47,03280501;33,13674899;23,40582381;25,53290083;39,0639481;42,35403151;326,7377201;46,66357739;193,0027804;94,34661724;28,09224319;12,89308176;15,23410203;12,29909154;13,73165618;23,37526205;17,43535989;94,24460432;141,6238438;139,5683453;115,2106886;87,15313464;74,51181912;98,80418535;90,73243647;163,67713;393,2735426;243,1988042;259,1928251;104,3316832;152,2277228;558,0445545;84,15841584;93,31683168;152,7227723;79,20792079;58,19910219;34,90889886;46,76524954;41,48402429;14,73461843;16,74148402;11,8827568
F5GZZ9;228,2;57,5;47,8;106,4;96,5;65,6;33,8;144,6;196,3573612;140,0298748;77,34989107;188,1;110,5119826;105;77,8;96,4;96,4;88,98269623;84,93333333;85,6;312,9;69,2;70,9;47;106,7;79,2;139,1;127,6942276;220,8189158;220,8189158;188,7190824;151,1332282;193,6561707;143,2171035;185,4884627;105,1236749;138,8888889;112,5978214;223,6383442;82,06666667;145,4723312;77,53333333;137,9877301;168,6695711;165,1423313;156,7877023;585;107,8;100,2;69,2;91,4;337,9;126,2;45,4;179,4117647;91,99346405;290,0326797;115,8496732;101,1437908;138,3986928;162,4183007;276,1245675;74,04844291;367,8200692;287,8892734;117,3010381;257,266436;365,916955;210,5582524;313,8349515;96,48058252;328,276699;170,7524272;281,7961165;252,0631068;94,16961131;111,130742;91,69611307;122,0848057;101,590106;293,4628975;403,7102473;275,8169935;87,58169935;111,2745098;220,2614379;124,3464052;270,751634;102,7607362;219,6319018;236,9631902;194,1717791;323,7730061;189,2638037;130,5797101;93,62318841;78,55072464;192,7536232;163,6231884;293,1884058;173,1884058;100,1663894;54,90848586;60,8985025;48,25291181;70,54908486;128,9517471;49,91680532
F5H0D0;41,40893471;41,40893471;49,6217522;37,1638762;37,72196854;33,09233891;34,41146626;33,46110845;44,01722817;39,68053942;37,72196854;47,79534678;35,05834602;35,84474886;35,05834602;24,64203895;24,64203895;45,03441264;33,14167066;62,31961553;46,40607102;44,53093776;45,84094396;37,72196854;37,72196854;42,57236689;46,08272656;37,72196854;36,5965966;36,5965966;35,88698287;45,54554555;44,3209648;38,66976566;37,72196854;35,47297569;37,72196854;36,35210553;46,40607102;34,68657285;57,01052554;34,59968902;92,92201559;104,4051969;102,5375558;28,54176649;37,86181853;38,66976566;37,72196854;37,72196854;37,72196854;35,47297569;37,72196854;37,72196854;34,47488584;30,78386606;35,3500761;37,10045662;31,46879756;42,92237443;33,14307458;50,33033033;53,45345345;46,36636637;37,41741742;26,60660661;45,76576577;51,65165165;42,29332072;40,63172762;38,66976566;35,84474886;38,36141207;52,00963607;50,0689968;39,09653075;50,49049049;48,52852853;50,49049049;50,49049049;50,49049049;50,29029029;51,11683849;15,03436426;36,12542955;15,54982818;44,75945017;43,3419244;57,69173984;38,33432712;35,84474886;33,90410959;33,90410959;67,4829331;91,96102314;36,17539586;191,4738124;85,56638246;73,14250914;79,9634592;83,73934227;40,10541447;33,10972688;32,72640153;39,38667944;26,59319598;33,6847149;18,92668903
F5H157;44,50878209;63,18411033;57,4148972;55,79212454;65,9925851;65,91117216;49,29221436;30,49318749;35,79478847;54,37606069;45,86650756;40,16860358;75,64102564;55,35714286;50,04797544;26,23045744;26,23045744;28,12906131;30,49318749;53,11746905;40,12738854;65,24329658;74,92416582;55,02401671;54,51007326;54,58903503;24,51057165;60,35189743;65,0269946;65,0269946;54,83514561;43,68178831;37,96792839;59,91691574;47,2922707;24,51057165;54,51007326;75,06868132;40,12738854;49,43388985;38,16388406;68,89058282;29,70639033;32,21423774;39,47627957;40,71452646;42,9258772;59,91691574;52,9112129;52,9112129;52,9112129;52,9112129;52,9112129;59,91691574;129,532967;105,7692308;47,0467033;46,22252747;48,76373626;72,39010989;44,91758242;96,46070786;32,33353329;36,65266947;73,36532693;52,36952609;69,34613077;78,82423515;168,8068756;17,49241658;67,59352882;64,56016178;67,239636;92,9726997;37,41152679;116,0532498;42,12999217;18,08927173;29,36570086;26,07674236;50,82223962;26,78151919;41,57498552;29,53097858;54,71916618;11,52287203;41,16965837;37,63752171;83,59240069;18,24985607;46,45941278;24,92803685;20,09211284;24,40990213;86,48809524;47,55952381;54,70238095;30,83333333;30,77380952;43,33333333;25,35714286;40,12738854;34,56349206;59,91691574;43,43472257;41,10347985;54,51007326;54,51007326
F5H365;124,4292237;63,0336003;43,42151675;165,9587565;44,6031746;145,6448138;36,15520282;41,95616212;61,69284484;110,9787388;90,95228385;94,1307765;181,1942136;155,3708833;46,89826303;78,51027397;78,51027397;78,73420325;99,38450306;69,0482319;123,4018265;101,8565778;74,10437299;116,5601632;138,5041551;105,97229;41,56746032;79,09984513;162,8765792;162,8765792;120,2576796;99,07555879;94,32307945;68,51197194;68,01153102;41,56746032;138,5041551;171,2526931;123,4018265;50,99255583;62,30525072;70,42543942;42,18362283;50,93052109;41,08506018;34,97354497;136,0708722;68,51197194;97,36490349;97,36490349;97,36490349;97,36490349;97,36490349;68,51197194;117,0821791;179,7783934;154,8476454;134,0720222;184,6722068;179,1320406;102,3084026;108,1632653;101,8464529;78,8143829;124,3926142;214,8688047;149,3683188;106,7055394;36,50793651;30,37037037;55,71428571;51,11111111;47,51322751;51,05820106;27,03703704;64,10714286;41,9047619;40,89285714;46,01190476;37,79761905;33,86904762;38,21428571;82,79109589;32,53424658;85,87328767;31,16438356;115,5821918;171,8321918;63,70967742;52,79156328;36,4764268;48,88337469;40,50868486;37,28287841;94,68377635;49,49587534;80,93492209;50,50412466;63,8863428;79,92667278;54,62878093;123,7416904;110,4463438;133,9031339;108,357075;105,1282051;120,702754;119,0883191
