Accession;T1-02B001;T2-02B001;T3-02B001;T4-02B001;T5-02B001;T6-02B001;T7-02B001;T8-02B001;T1-02B002;T2-02B002;T3-02B002;T4-02B002;T1-02B004;T2-02B004;T3-02B004;T4-02B004;T5-02B004;T6-02B004;T7-02B004;T8-02B004;T1-02B006;T2-02B006;T3-02B006;T4-02B006;T5-02B006;T6-02B006;T7-02B006;T1-02B007;T2-02B007;T3-02B007;T4-02B007;T5-02B007;T6-02B007;T1-02B008;T2-02B008;T4-02B008;T6-02B008;T7-02B008;T1-02B009;T2-02B009;T3-02B009;T4-02B009;T5-02B009;T6-02B009;T7-02B009;T8-02B009;T1-02B010;T2-02B010;T3-02B010;T4-02B010;T5-02B010;T6-02B010;T7-02B010;T8-02B010;T1-02A001;T2-02A001;T3-02A001;T4-02A001;T5-02A001;T6-02A001;T7-02A001;T1-02A015;T2-02A015;T3-02A015;T4-02A015;T5-02A015;T6-02A015;T7-02A015;T1-02A020;T2-02A020;T3-02A020;T4-02A020;T5-02A020;T6-02A020;T7-02A020;T1-02A021;T2-02A021;T3-02A021;T4-02A021;T5-02A021;T6-02A021;T7-02A021;T2-02A022;T3-02A022;T4-02A022;T5-02A022;T6-02A022;T7-02A022;T1-02A023;T2-02A023;T3-02A023;T4-02A023;T5-02A023;T6-02A023;T1-02A025;T2-02A025;T3-02A025;T4-02A025;T5-02A025;T6-02A025;T7-02A025;T1-02A029;T2-02A029;T3-02A029;T4-02A029;T5-02A029;T6-02A029;T7-02A029
Q07666;131,7;215,8;335,8;543,9;207,8;170,6;240,7;68,4;;;;;;;;;;;;;70,9;73,9;276,1;347,3;88,7;158,1;39,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;204,9779458;188,657845;140,7687461;105,9231254;105,3560176;115,0598614;126,3390044;;;;;;;;219,8319328;97,4789916;183,697479;129,9159664;155,4621849;135,1260504;205,0420168;;;;;;;;101,1025358;56,78059537;94,92833517;16,4277839;139,8015436;112,4586549;91,96704428;94,33573635;122,0391349;58,90834192;51,08135942;83,3161689;158,0916745;64,45275959;101,4031805;76,70720299;48,55004677;114,5930776;52,66604303;112,2315593;49,01960784;53,68814192;101,774043;67,97385621;74,32306256;38,28197946
Q07954;190,5;74;113,7;64,1;286,8;354,6;162,1;67,6;125;111;113;217,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;227,4;165,7;151,7;144,7;201,6;113,2;231,8;231,6;166,72;133,6;178,56;137,92;133,44;118,72;188,16;51,42337977;37,55299818;55,96608116;42,33797698;31,49606299;39,5517868;59,78195033;43,42688331;28,65583456;26,93254554;81,5854259;44,46085672;54,84982767;43,67306745;42,61822376;46,02076125;29,52710496;49,71164937;37,02422145;72,26066897;139,6193772;213,4868421;48,84868421;331,5789474;106,0855263;192,1052632;137,6644737;104,392237;66,49642492;154,5454545;87,23186925;90,90909091;101,8386108;102,0833333;134,5238095;101,3392857;138,3928571;276,3392857;131,1011905;223,0654762;165,6290532;50,06485084;85,47341115;47,60051881;69,77950713;64,20233463;86,25162127
Q08170;17,5;11,5;90,1;469,5;8,7;0,9;3,2;0,7;4,2;14,7;628,5;26,4;;;;;;;;;0,5;11,3;53,1;729,2;9,7;86,4;7,3;0,1;144,9;1,9;252,6;0,6;2,6;;;;;;0,4;128,4;0,5;635,6;31;33,7;33,3;1,6;;;;;;;;;176,5625;385,6445313;59,5703125;120,2148438;120,6054688;61,5234375;91,796875;;;;;;;;175,6485849;2,830188679;18,75;24,35141509;19,75235849;14,44575472;8,608490566;362,2699387;7,36196319;20,0408998;22,59713701;59,50920245;20,34764826;31,18609407;;;;;;;114,2857143;31,65714286;43,94285714;12,85714286;13,31428571;11,42857143;20,09844135;43,0680886;6,029532404;5,04511895;3,650533224;19,48318294;4,060705496;224,5693563;9,791477788;27,7425204;51,58658205;29,01178604;24,47869447;17,22574796
Q08188;56,6;28,7;33,8;84,2;42,2;520,2;164,2;778,9;38,9;10,7;12,3;58,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149,4397759;101,5406162;466,3865546;36,69467787;115,8263305;75,91036415;40,19607843;134,4013491;298,4822934;137,6053963;76,89713322;97,30185497;77,06576728;103,5413153;16,96344892;22,63355201;22,5398313;28,35051546;24,17994377;56,46672915;18,22867854;72,8606357;170,0488998;230,195599;164,1809291;59,7799511;206,2347188;175,5501222;49,26387316;194,5639864;40,88335221;296,4892412;44,84711212;62,62740657;73,07351639;150,3985828;102,214349;83,87953942;113,1975199;88,4853853;127,8481013;61,33486766;302,9919448;256,1565017;157,0771001;90,21864212;90,56386651;48,28009828;71,00737101;70,14742015;39,18918919;54,17690418;68,05896806;105,036855
Q08209;31,7;319,2;185,1;81,7;124,8;68,3;27,8;3,6;16,5;98,7;260,9;115;9,9;14,5;32,4;626,7;479,3;99,8;197;243,6;14,9;56,8;452,5;263,3;96,8;107,2;62,4;6,4;42,6;38,6;140,2;20,8;41,1;14,8;90;81,4;18,4;47;;;;;;;;;42,9;131,2;98,8;379,2;167,9;112,6;117,3;125,4;117,5650558;100,929368;89,96282528;121,0966543;125,3717472;222,8624535;95,63197026;105,1697531;63,96604938;64,35185185;172,6080247;115,1234568;128,6265432;129,7839506;78,45336482;46,39905549;164,2857143;124,025974;151,0625738;109,9173554;56,90672963;79,86067131;31,91893604;56,04813173;50,47498417;32,6789107;57,25142495;54,02153262;202,7088036;43,00225734;179,9097065;30,13544018;131,3769752;174,6049661;83,84539148;65,21308226;73,04261645;39,74231913;25,96630327;41,62537166;75,44006706;54,73595977;93,04274937;41,32439229;65,80050293;66,21961442;37,80385583;82,8539823;174,2256637;242,8097345;168,1415929;81,85840708;101,4380531;85,06637168
Q08211;68,3;165;86,5;171,9;53,7;40,6;44,6;7,5;78,4;28,5;106;20,5;130,8;44;217,1;4,7;7,3;6,2;3,6;3,1;;;;;;;;5,9;8,2;8,8;109,4;5,1;28,9;2,3;6,2;30,6;0,5;7,9;;;;;;;;;15,7;13,8;11,5;129,4;14,1;13,3;13,1;13,1;86,43187067;78,29099307;54,04157044;51,32794457;42,26327945;78,29099307;33,60277136;39,29393707;15,92478895;17,68994628;38,91020721;46,77666922;37,14504988;22,52494244;20,25075988;12,19604863;54,82522796;72,49240122;52,65957447;42,17325228;16,83130699;33,56877323;20,22304833;12,37918216;14,57249071;9,814126394;25,65055762;17,50929368;24,17311752;9,535538353;21,78043631;7,63546798;19,66924701;21,56931738;78,55987055;76,45631068;69,74110032;100,1618123;60,19417476;92,7184466;81,49898717;51,51924375;99,18973666;55,16542876;48,4132343;61,03983795;50,16880486;81,40382862;125,7976299;102,6435734;143,1175934;76,11668186;81,49498633;37,55697356
Q08380;104,4;71,2;66,1;71,1;111,5;595,6;126,9;146,8;105,1;120,2;140,1;115,7;97,7;24,6;34,9;360,3;276,3;473,7;308,8;363,9;54,5;43,5;204,5;82,8;291,5;88,4;188,7;29,7;33,7;58,5;59,7;46,2;114,8;35,3;35,8;47,9;75,7;39,7;54,7;33,6;55,1;197,6;29,7;10,7;26,2;63,8;32,3;26,8;21,9;39,6;54,7;20,2;43,6;70,2;27,37464964;11,42946123;38,89753971;30,98723139;32,60666459;19,49548427;50,48271566;21,92513369;38,19073084;15,10695187;23,17290553;26,69340463;29,99108734;32,88770053;23,79139703;29,46326608;47,31633041;77,35059003;47,69699277;41,6825276;27,97868291;33,52561927;34,17034272;55,00508992;70,54631829;23,6851035;58,46623685;93,00984052;135,6350185;82,92231813;129,6547472;100,4932182;74,59926017;80,45622688;95,94882729;77,04335466;114,7121535;76,83013504;64,60554371;124,6624023;96,41230068;34,33940774;48,91799544;61,73120729;106,3781321;76,82232346;115,6605923;112,4315872;71,07114934;131,118061;48,94448788;43,86239249;60,43784206;147,146208
Q08477;4,9;152,9;76,8;367,4;59;49,7;23,2;69,6;8,1;68,6;418,5;36,2;;;;;;;;;3;33,5;149;117,6;76,8;121,4;119,1;9,1;175,8;124,3;313,9;18,1;105,5;5,7;54,9;137,3;11,8;23,7;;;;;;;;;;;;;;;;;45,4015544;28,56217617;92,0984456;83,67875648;100,2590674;77,84974093;67,29274611;77,75987107;32,87671233;36,98630137;171,2328767;81,5471394;88,39645447;70,910556;265,1356994;79,26235212;204,453723;176,3395964;147,6687543;121,0160056;76,33959638;44,70284238;27,21791559;33,93626184;35,31438415;31,43841516;76,05512489;18,94918174;70,37990985;165,9368963;66,90276883;38,18415969;65,67933033;96,20090148;35,87319244;47,38598443;151,0011123;46,38487208;83,53726363;12,6807564;65,32389766;28,19814916;59,71692978;26,51061513;22,04681546;52,58573762;13,99020142;26,74870466;74,28756477;68,00518135;54,33937824;30,31088083;24,54663212;17,42227979
Q08752;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;230,8115543;168,6382393;146,6299862;175,9284732;265,3370014;343,0536451;122,696011;198,5294118;15,52287582;184,3137255;53,43137255;71,56862745;235,9477124;40,68627451;356,5436242;115,4362416;147,4832215;93,62416107;123,4899329;132,2147651;139,5973154;315,9600998;239,6508728;252,8678304;178,8029925;339,6508728;109,9750623;136,8550369;48,03439803;33,53808354;119,2874693;158,8452088;49,38574939;234,5092025;165,797546;252,7607362;108,7423313;100,6134969;126,993865;103,2208589;;;;;;;
Q08830;31,4;8,8;34,4;2,1;18,2;19,4;12,7;7,9;7,3;28,3;9,8;21,4;5,5;21,5;6,7;114,4;126,8;20,1;121,5;163,7;0,6;0,9;23,3;12;0,6;7,2;4,5;14,6;22,2;10,4;23,2;7,5;23,8;5,3;23,2;20,3;2,5;6,8;0,4;5,3;2,6;81,3;6,4;1,8;2,8;20,8;15,6;59,7;29,2;23,1;37,8;13,3;24,6;27,3;;;;;;;;6,156926542;7,83381304;4,204730322;5,656363409;4,692779377;4,955575022;4,630208985;2,505921002;4,59928184;2,353120941;42,35617694;3,002521201;75,55199022;8,083123233;6,909767849;10,55628559;15,11169514;10,99430574;10,93955322;4,226894437;4,358300482;3,450614667;3,018228063;3,526918186;1,907587961;2,831708351;6,833403985;19,04965753;2,59907045;10,01712329;8,787915851;4,574363992;1,382093933;18,5274885;42,38314362;22,57205134;13,56260596;148,5105352;6,103172681;34,48776944;14,76444511;9,099105868;9,076564731;6,386655647;9,722744008;8,77601623;32,37658727
